"LISEZ MOI EN PASSANT 
LE CURSEUR SUR MOI",En minutes,En minutes,,,,,,,,,,,,,,,,"-2 froid
-1 frais
0 TA
1 tiède
2 chaud",,,,,,,,,,,,,,"Farines
Pâtes
Riz
Patates ...",,,,,,,,,," -1 surtout en été
0 n'importe quand
1 surtout en hiver"
NOM,Temps prep total,Temps prep actif,Entree,Plat,Dessert,Petit Dejeuner,Grignotage,Boisson,Ne se consomme pas seul,Cuit (%),Liquide (%),Sucré (-1 à 1),Salé (-1 à 1),Acide (-1 à 1),Amer (-1 à 1),Piquant (-1 à 1),Epicé (-1 à 1),Chaud (-2 à 2),Gras (-1 à 1),Couleur vive (-1 à 1),Sent fort (-1 à 1),Crousillant (-1 à 1),Fondant (-1 à 1),Moelleux (-1 à 1),Sec (-1 à 1),Sain (-1 à 1),Lourd (-1 à 1),Viande,Poisson,Légume,Fruit,Féculent,Laitage,Oeuf,Alcoolisé,Avec sauce,Sur le pouce ,Cher (-1 à 1),Connu mondialement (-1 à 1),Bon le lendemain (-1 à 1),Difficile/technique (-1 à 1),Mieux en été ou hiver
Boeuf Bourguignon,360,90,0,1,0,0,0,0,0,100,30,0,1,0,-1,-1,-1,2,0,-1,0,-1,1,-1,-1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
Croissant,2880,120,0,0,1,1,1,0,0,100,0,1,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,0,0,-1,0,0,0,0,0,1,1,1,0,0,1,-1,1,-1,1,0
Tartelette fraise,360,90,0,0,1,0,1,0,0,70,0,2,-1,0,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,-1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
Tonkotsu ramen,750,120,0,1,0,0,0,0,0,95,50,0,1,-1,-1,-1,-1,2,0,-1,0,-1,-1,-1,-1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1
Thé à la menthe,5,2,0,0,1,1,0,1,0,100,100,1,-1,-1,0,-1,-1,2,-1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,0
Carbonara,40,40,0,1,0,0,0,0,0,100,20,0,1,-1,-1,-1,-1,2,0,0,0,-1,-1,-1,-1,0,1,1,0,0,0,1,1,1,0,1,0,-1,1,0,0,0
Nems porc/poulet,90,90,1,0,0,0,0,0,0,100,0,0,1,-1,-1,-1,-1,2,1,-1,0,1,-1,0,-1,-1,0,1,0,1,0,1,0,0,0,1,0,0,1,-1,0,0
Nems crevette,90,90,1,0,0,0,0,0,0,100,0,0,1,-1,-1,-1,-1,2,1,-1,0,1,-1,0,-1,-1,0,0,1,1,0,1,0,0,0,1,0,0,1,-1,0,0
Mac and cheese,30,30,0,1,0,0,0,0,0,100,20,0,1,-1,-1,-1,-1,2,1,0,0,-1,1,-1,-1,-1,1,0,0,0,0,1,1,0,0,0,0,-1,0,0,-1,0
