name,acide,alcool,amer,boisson,chaleur,cher_a_acheter,cher_a_faire,couleur,croust,cuit,dessert,difficile,entree,epice,feculent,fruit,gras,legume,lendemain,liquide,lourd,odeur,oeuf,petitdej,piquant,plat,poisson,sain,saison,sale,sec,seul,snack,sucre,viande
Spaghetti Carbonara,0,0,0,0,0,6,3,0,2,25,0,0,0,1,1,0,1,0,0,10,1,1,1,0,0,1,0,-5,0,1,4,1,0,1,1
Pad Thai,1,-1,1,0,0,6,7,1,6,80,0,0,1,1,1,0,1,0,1,6,0,1,0,0,-2,1,0,4,0,1,3,1,0,1,0
Sushi,0,-1,0,0,-1,7,8,1,7,50,0,1,1,1,1,0,0,0,-1,5,-1,1,0,0,2,1,1,8,0,1,3,1,0,0,1
Tacos,1,-1,0,0,1,3,4,1,7,50,0,0,0,1,0,0,1,0,0,8,0,1,0,0,4,1,0,2,0,1,4,0,0,0,1
Margherita Pizza,0,-1,0,0,0,3,4,1,7,100,0,0,0,1,1,0,1,1,1,10,0,1,0,0,2,1,0,2,0,1,6,1,1,0,0
Croissant,0,-1,0,0,0,5,7,0,4,100,1,1,0,1,1,0,1,0,-1,10,-1,1,1,1,-2,0,0,-5,0,0,7,1,1,1,0
Pho,1,-1,1,0,-1,5,6,0,2,0,0,1,1,1,0,0,1,1,1,2,-1,1,0,0,2,0,0,7,1,1,2,1,0,0,1
Ratatouille,1,0,1,0,0,4,7,1,3,70,0,0,0,1,0,1,0,1,1,9,0,1,0,0,-2,1,0,8,0,1,2,0,0,0,0
Paella,1,0,1,0,1,7,7,1,4,75,0,0,1,1,1,0,1,1,1,8,1,1,0,0,2,1,1,3,0,1,4,1,0,0,1
Butter Chicken,1,0,0,0,2,7,7,0,3,80,0,0,0,1,0,0,1,0,1,10,1,1,0,0,1,1,0,-3,0,1,5,0,0,1,1
Peking Duck,1,1,1,0,1,8,7,1,8,90,0,1,1,1,0,0,1,0,1,10,1,1,0,0,2,1,0,2,1,1,8,0,1,1,1
Beef Wellington,0,1,0,0,1,9,8,0,4,100,0,1,1,1,1,0,1,0,1,10,1,1,0,0,0,1,0,2,1,1,7,1,0,0,1
Tom Yum Soup,2,-1,2,0,4,6,6,1,3,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,2,0,1,7,1,2,1,0,0,0,1
Falafel,0,-1,1,0,-1,5,4,0,8,80,0,0,1,1,0,0,1,1,1,9,0,1,0,0,1,1,0,7,0,1,7,1,1,0,0
Gyro,1,0,1,0,1,5,7,0,6,75,0,0,1,1,0,0,1,0,1,8,1,1,0,0,1,1,0,2,0,1,3,1,1,1,1
Hummus,0,-1,1,0,-1,4,5,0,3,0,0,0,1,1,0,0,1,1,1,3,-1,1,0,0,-2,1,0,8,0,1,3,1,1,1,0
